record_type,match_id,team_a_abbr,team_b_abbr,team_a_name,team_b_name,date,time,ml_a,ml_b,ml_draw,ml_a_pct,ml_b_pct,ml_draw_pct,total_line,team_a_total,team_b_total,score_a,score_b,matrix_prob,team,pos,slot,name,flex_salary,cpt_salary,fpts,fpts_per_k,flex_opto_pct,cpt_opto_pct,flex_proj_own,cpt_proj_own,minutes,xg,xa,shots,goal_odds,goal_book,assist_odds,assist_book,soa_odds,soa_book,sot_line,sot_odds,sot_book,ck_taker,fk_taker,inj_status,inj_detail,preview_type,preview_text,preview_team
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,D1,Marc Cucurella,4800,7200,7.53,1.569,22.79,1.52,25.67,1.33,90.0,0.04,0.08,0.45,3500,Caesars NJ,750,Caesars NJ,460,FanDuel NJ,1.5,3000,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,M2,Fabian Ruiz,4000,6000,7.48,1.87,22.82,2.31,36.00,2.99,68.0,0.1,0.12,1.4,1600,Caesars NJ,500,bet365 NJ,275,bet365 NJ,1.5,2200,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,M3,Rodri,4200,6400,7.98,1.9,26.22,2.04,37.67,1.99,89.0,0.07,0.09,0.6,2500,Caesars NJ,850,FanDuel NJ,500,bet365 NJ,1.5,4000,Skybet,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,D3,Aymeric Laporte,3400,5200,4.15,1.221,6.24,0.29,2.00,0.10,90.0,0.02,0.04,0.38,3500,Caesars NJ,1400,Caesars NJ,1000,bet365 NJ,1.5,3300,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,D2,Pau Cubarsi,3200,4800,5.27,1.647,11.61,0.48,11.67,1.00,90.0,0.02,0.04,0.41,3500,DK NJ,1600,FanDuel NJ,900,FanDuel NJ,1.5,3500,Betfair UK,0,0,,,,,
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,"Kylian Mbappe enters this match as the tournament's outright leading scorer with eight goals across seven matches, having scored in both the quarterfinal against Morocco and the semifinal against Spain before France's exit. France contest the third-place match having won eight consecutive matches before their semifinal defeat — the longest such streak by any nation at a single World Cup.",FRA
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,"Michael Olise serves as France's corner kick taker and has seven assists in the tournament, breaking Pele's 1970 record of six at a single World Cup. Aurelien Tchouameni starts in central midfield alongside Manu Kone. Mike Maignan has conceded in only one match — the group stage opener against Senegal — across all eight tournament appearances.",FRA
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stat,"France have scored 16 goals across eight matches and conceded just twice. Mbappe's eight goals are the most by a Frenchman at a single World Cup, surpassing Just Fontaine's record of six set in 1958. Olise's seven assists are the most in a single World Cup tournament by any player in history.",FRA
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfs_gpp,"Kylian Mbappe leads France in opto as the highest-ceiling attacking option on this slate with eight tournament goals. Michael Olise provides the highest-value non-forward CPT option with corner kick delivery and a record-breaking seven assists, at a salary well below Mbappe.",FRA
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,"England contest the third-place match, advancing through three consecutive single-goal knockout wins including a 2-1 extra-time victory over Norway in the quarterfinal where Jude Bellingham scored twice. Harry Kane leads England with seven tournament goals entering this match.",ENG
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,"Declan Rice serves as England's primary corner kick taker. Bukayo Saka returned from injury to play the semifinal and starts here. England reach the third-place match after their semifinal defeat, having reached the last four of the World Cup for the first time since 1990.",ENG
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stat,"England have scored 16 goals from ten different scorers — the most individual contributors of any team remaining. Bellingham has scored four goals in the knockout stage alone, the most by any English player at a single World Cup since Geoff Hurst in 1966. Jordan Pickford has now broken Peter Shilton's record for England World Cup appearances.",ENG
PREVIEW,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfs_gpp,"Harry Kane leads England in opto as the primary striker with seven tournament goals. Jordan Pickford provides goalkeeper value with clean sheet potential, while Nico O'Reilly offers an underpriced left back pivot with consistent attacking output across the tournament.",ENG
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,"Lionel Messi enters the World Cup Final with nine goals and three assists across eight matches — twelve direct goal contributions at a single tournament, a figure unprecedented in World Cup history. Argentina advanced past England in the semifinal to reach their fourth World Cup final, and Messi's third.",ARG
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,Lionel Messi serves as Argentina's corner kick taker. Julian Alvarez scored the goal of the tournament in the quarterfinal against Switzerland — a curling strike from outside the box in the 112th minute — and has been the second attacking pillar behind Messi throughout the knockout rounds. Emiliano Martinez has made 27 saves in eight matches.,ARG
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stat,"Argentina have scored 17 goals across eight matches, the most of any team at this tournament. Messi's twelve goal contributions surpass Ronaldo's eleven from 2002 as the most at a single World Cup. Argentina have won every match and have not been eliminated in 90 minutes at any point during the tournament.",ARG
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfs_gpp,"Lionel Messi leads the slate in CPT and FLEX opto with nine goals, three assists, and corner kick delivery — the dominant asset on this slate. Julian Alvarez provides a high-ceiling second forward option with the goal of the tournament already on his résumé. Emiliano Martinez anchors Argentina's goalkeeper position with the highest save volume of any keeper remaining in the tournament.",ARG
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,Spain enter the World Cup Final having conceded just one goal in eight matches — the most dominant defensive record in World Cup history for a side reaching the final. Their only conceded goal in eight matches came from a deflected shot against Belgium in the quarterfinal. Spain beat Argentina in the Euro 2024 final and face them again in the World Cup Final after defeating France in the semifinal.,ESP
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,key,"Lamine Yamal and Alex Baena serve as Spain's corner kick takers. Mikel Oyarzabal leads Spain with four tournament goals as the primary striker, while Pedro Porro provides consistent attacking width from right back as the team's most involved outfield player across all eight matches. Unai Simon has kept seven clean sheets in eight appearances.",ESP
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stat,"Spain's expected goals against per match of 0.24 across eight matches is the lowest of any team in World Cup history to reach the final. Oyarzabal's four goals came in four different matches, making him the first Spanish player to score in four consecutive World Cup games since Fernando Morientes in 2002.",ESP
PREVIEW,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfs_gpp,Mikel Oyarzabal leads Spain in FLEX opto with four tournament goals as the primary striker. Unai Simon provides the clean sheet cornerstone in goal with seven clean sheets across eight matches — the best record of any goalkeeper at this World Cup. Pedro Porro offers a high-value fullback pivot with consistent attacking width and the third-highest FLEX opto among Spanish outfield players.,ESP
